id,start_timestep,last_timestep,duration,ideal_duration,user_id,protocol,privacy_score
BR79O0CIKGRS,19302.25,19370.0,67.75,97.75,pedestrian_1-1-pt_0,wifi,0.6930946291560103
29JCPQGKD7NR,18200.0,18254.75,54.75,118.0,pedestrian_1-1-pt_1006,wifi,0.4639830508474576
ZKN877XZ3XFY,19116.25,19190.25,74.0,283.75,pedestrian_1-1-pt_1011,wifi,0.2607929515418502
2I0FO5HD1CYR,18898.25,18968.0,69.75,469.75,pedestrian_1-1-pt_1022,wifi,0.1484832357637041
DED507W74DX3,19360.25,19400.0,39.75,39.75,pedestrian_1-1-pt_1037,wifi,1.0
IZZODTULINHY,18767.25,18823.0,55.75,97.75,pedestrian_1-1-pt_1039,wifi,0.5703324808184144
LMAAH19N8GXA,18824.0,19040.75,216.75,797.75,pedestrian_1-1-pt_1040,wifi,0.2717016609213413
45ZMULJ8HNJ7,18961.5,19235.0,273.5,525.5,pedestrian_1-1-pt_1073,wifi,0.5204567078972407
CJTNNH8F16JI,18919.0,19327.25,408.25,535.75,pedestrian_1-1-pt_1078,wifi,0.7620158656089594
CH6NQ7VW8CU2,18568.25,18640.25,72.0,895.75,pedestrian_1-1-pt_1108,wifi,0.08037957019257605
2TK2F0JQHDVK,19289.0,19368.75,79.75,209.75,pedestrian_1-1-pt_111,wifi,0.3802145411203814
30NZHJSCHNBH,19284.25,19348.0,63.75,115.75,pedestrian_1-1-pt_1121,wifi,0.550755939524838
NTD5IPVJVXS9,19022.25,19398.75,376.5,1186.75,pedestrian_1-1-pt_1134,wifi,0.31725300189593425
CM9GZ7JRPH15,18949.5,19348.0,398.5,1190.75,pedestrian_1-1-pt_1142,wifi,0.33466302750367416
ZXDINRT4L4YN,18984.75,19054.5,69.75,457.75,pedestrian_1-1-pt_1167,wifi,0.1523757509557619
322L21XM0947,19272.75,19345.25,72.5,907.75,pedestrian_1-1-pt_1169,wifi,0.07986780501239328
2YWESOO9S6RK,19268.0,19360.75,92.75,580.75,pedestrian_1-1-pt_1173,wifi,0.1597072750753336
TH9A072WBQDX,18560.75,18712.25,151.5,680.75,pedestrian_1-1-pt_1215,wifi,0.22254865956665443
NL1AHB94KR8P,19216.25,19290.25,74.0,839.75,pedestrian_1-1-pt_1223,wifi,0.08812146472164335
00AGCYQ39NC3,18650.75,18721.0,70.25,329.75,pedestrian_1-1-pt_1227,wifi,0.21304018195602728
6FIP9V7PLLQB,19010.0,19185.25,175.25,602.75,pedestrian_1-1-pt_1238,wifi,0.29075072583990047
XXRFX7UKLSZL,18416.5,18674.5,258.0,719.75,pedestrian_1-1-pt_1253,wifi,0.35845779784647447
XZ8KY4Q81B64,19298.75,19363.0,64.25,205.75,pedestrian_1-1-pt_1259,wifi,0.31227217496962334
H653X1WCXRY0,18917.0,18987.0,70.0,930.75,pedestrian_1-1-pt_1270,wifi,0.07520816545796401
LN2MDDEO33AN,18846.25,18920.25,74.0,553.75,pedestrian_1-1-pt_1296,wifi,0.13363431151241534
BXQXPO3QEEYT,18948.75,19019.0,70.25,534.75,pedestrian_1-1-pt_1298,wifi,0.131369798971482
8IPQIYB8EWHY,19346.25,19380.0,33.75,53.75,pedestrian_1-1-pt_1304,wifi,0.627906976744186
OYP3VR05FXUN,19116.75,19181.75,65.0,371.75,pedestrian_1-1-pt_1306,wifi,0.17484868863483524
I24FKD6QCD8W,18582.0,18638.75,56.75,187.25,pedestrian_1-1-pt_1329,wifi,0.3030707610146863
5BEQCK5NPG3X,19340.25,19380.75,40.5,59.75,pedestrian_1-1-pt_1390,wifi,0.6778242677824268
9KX5NXXRBUKS,19173.25,19231.5,58.25,226.75,pedestrian_1-1-pt_1403,wifi,0.25689084895259096
UYYGDEFNQAO4,19155.25,19356.25,201.0,721.75,pedestrian_1-1-pt_1414,wifi,0.27848978178039485
79S1IO5ZBSLC,19193.0,19299.75,106.75,355.75,pedestrian_1-1-pt_1420,wifi,0.3000702740688686
73U3YNR4UFIN,18649.0,18838.5,189.5,1026.75,pedestrian_1-1-pt_1440,wifi,0.18456294131969808
W01ZMON9PHWV,19368.25,19400.0,31.75,31.75,pedestrian_1-1-pt_1473,wifi,1.0
Y1141ZO36OWV,18667.5,18739.5,72.0,363.0,pedestrian_1-1-pt_1475,wifi,0.19834710743801653
F1VZYM9BK32D,19309.25,19356.5,47.25,90.75,pedestrian_1-1-pt_150,wifi,0.5206611570247934
MQUEYBYQCWY3,18984.5,19056.25,71.75,506.75,pedestrian_1-1-pt_1531,wifi,0.1415885545140602
WUBST91MHQX8,18826.0,18935.75,109.75,893.75,pedestrian_1-1-pt_1560,wifi,0.1227972027972028
X3O5A5GM05TL,19244.75,19317.5,72.75,147.5,pedestrian_1-1-pt_1601,wifi,0.49322033898305084
O08W0DODRWC9,19006.25,19064.75,58.5,427.75,pedestrian_1-1-pt_1633,wifi,0.13676212741087085
YVLO90CX4V2U,18978.5,19360.5,382.0,924.75,pedestrian_1-1-pt_1665,wifi,0.4130846174641795
EE8RV355BF81,18272.5,18346.0,73.5,612.25,pedestrian_1-1-pt_1669,wifi,0.12004899959167006
73PAM7XUVCIV,18184.0,18255.5,71.5,418.75,pedestrian_1-1-pt_1673,wifi,0.1707462686567164
14ZV0HBPUK5P,18863.0,18935.25,72.25,361.5,pedestrian_1-1-pt_1695,wifi,0.19986168741355465
REVGMBZYTP5O,19341.5,19400.0,58.5,114.75,pedestrian_1-1-pt_17,wifi,0.5098039215686274
SOYFY0IUXLII,18686.25,18753.25,67.0,109.25,pedestrian_1-1-pt_1714,wifi,0.6132723112128147
U6R6PM6MLI44,18861.5,18936.25,74.75,971.75,pedestrian_1-1-pt_1720,wifi,0.07692307692307693
SZOT3P7L2YA5,19259.0,19357.5,98.5,253.75,pedestrian_1-1-pt_1736,wifi,0.38817733990147785
4IVFESPQ3CVC,18207.25,18242.0,34.75,34.75,pedestrian_1-1-pt_1747,wifi,1.0
5UFHLE95NF3U,18402.25,18476.75,74.5,448.0,pedestrian_1-1-pt_1770,wifi,0.16629464285714285
XF4QXG77JH4N,18521.5,18595.0,73.5,576.0,pedestrian_1-1-pt_1773,wifi,0.12760416666666666
40CQEKTGVXGJ,18769.5,18840.0,70.5,909.25,pedestrian_1-1-pt_1780,wifi,0.0775364311245532
CO7BG5CWPOQ1,19034.5,19320.0,285.5,1008.75,pedestrian_1-1-pt_1797,wifi,0.2830235439900867
WNH4KKH69O82,18940.0,19114.75,174.75,621.75,pedestrian_1-1-pt_1809,wifi,0.2810615199034982
X0J9ALNO09IR,19140.0,19193.75,53.75,163.5,pedestrian_1-1-pt_182,wifi,0.3287461773700306
QHN6XQWMWDNA,18847.25,18974.0,126.75,290.5,pedestrian_1-1-pt_1829,wifi,0.43631669535283996
5YVLA82FGYPT,19285.25,19399.25,114.0,114.75,pedestrian_1-1-pt_1903,wifi,0.9934640522875817
KCVJ9SCXAOM8,19067.25,19269.0,201.75,500.75,pedestrian_1-1-pt_1910,wifi,0.4028956565152272
0FVNCANV5HZB,18608.25,19257.0,648.75,791.75,pedestrian_1-1-pt_1933,wifi,0.8193874329017998
VYVAN5N75N2M,19077.25,19175.0,97.75,1076.75,pedestrian_1-1-pt_1949,wifi,0.0907824471790109
M58YQY2W5P2L,19274.25,19377.75,103.5,525.75,pedestrian_1-1-pt_1966,wifi,0.19686162624821682
UOZYVH1W225N,19197.25,19271.75,74.5,256.75,pedestrian_1-1-pt_2013,wifi,0.2901655306718598
V09I0M53MN21,19288.5,19359.0,70.5,531.75,pedestrian_1-1-pt_2031,wifi,0.1325811001410437
4X6E3Y2TW01Y,18851.5,18900.75,49.25,216.0,pedestrian_1-1-pt_2032,wifi,0.22800925925925927
89KRCMQ0CMYJ,18686.25,18748.75,62.5,733.5,pedestrian_1-1-pt_2125,wifi,0.08520790729379686
FZZWIEDZEG37,19199.0,19268.25,69.25,301.75,pedestrian_1-1-pt_2128,wifi,0.22949461474730737
UE2F79TD8OY8,18716.25,18764.75,48.5,79.0,pedestrian_1-1-pt_2129,wifi,0.6139240506329114
16GUS3XSB1I9,18872.25,19036.0,163.75,899.5,pedestrian_1-1-pt_2162,wifi,0.1820455808782657
K329PYDPRHW1,18671.25,18742.0,70.75,272.25,pedestrian_1-1-pt_2170,wifi,0.2598714416896235
6SR1WZT991AJ,19033.25,19375.75,342.5,755.75,pedestrian_1-1-pt_2188,wifi,0.45319219318557724
0IUVDKALXIJA,18069.25,18140.5,71.25,458.5,pedestrian_1-1-pt_2201,wifi,0.1553980370774264
EUZPXE0JSNXN,19313.25,19376.5,63.25,86.75,pedestrian_1-1-pt_2230,wifi,0.729106628242075
30BOQGULPXDQ,18538.25,18608.0,69.75,917.75,pedestrian_1-1-pt_2277,wifi,0.07600108962135659
FOHIR8KL536G,19111.5,19172.75,61.25,414.75,pedestrian_1-1-pt_2329,wifi,0.14767932489451477
1E1NYHEEANK2,18436.25,18547.75,111.5,307.5,pedestrian_1-1-pt_2342,wifi,0.36260162601626017
V440P0VG6NS4,18628.75,18679.75,51.0,159.5,pedestrian_1-1-pt_2369,wifi,0.31974921630094044
PNBNBQ2ZZBL4,18324.5,18438.5,114.0,578.5,pedestrian_1-1-pt_237,wifi,0.19706136560069146
SIE42E7GZT23,18323.75,18645.75,322.0,1361.0,pedestrian_1-1-pt_2382,wifi,0.23659074210139602
1MDCM3KNP088,19148.5,19219.25,70.75,447.75,pedestrian_1-1-pt_2417,wifi,0.15801228364042436
J1TA26VPBLDM,19213.25,19282.0,68.75,447.75,pedestrian_1-1-pt_2425,wifi,0.15354550530429928
IFIYCWUM5O0I,18809.25,18906.75,97.5,236.5,pedestrian_1-1-pt_2431,wifi,0.41226215644820297
M08ROOAWAMRX,18660.75,18837.0,176.25,783.75,pedestrian_1-1-pt_2453,wifi,0.22488038277511962
500ZMPIWJOKM,19288.25,19344.25,56.0,111.75,pedestrian_1-1-pt_247,wifi,0.5011185682326622
8WXYTXFTJ19Z,18776.0,18850.75,74.75,855.75,pedestrian_1-1-pt_2483,wifi,0.08735027753432661
C6E4DMP6S56S,19297.25,19363.75,66.5,102.75,pedestrian_1-1-pt_2494,wifi,0.6472019464720195
APCI2677MRAK,18676.25,18751.0,74.75,1345.75,pedestrian_1-1-pt_2498,wifi,0.05554523499907115
6K75TE5M6976,18779.0,18851.75,72.75,815.25,pedestrian_1-1-pt_250,wifi,0.08923643054277829
N1X46HNSEEGV,19324.25,19365.25,41.0,75.75,pedestrian_1-1-pt_2523,wifi,0.5412541254125413
0BC7OK7IYSFQ,18563.25,18609.75,46.5,64.25,pedestrian_1-1-pt_2529,wifi,0.7237354085603113
ZBWBS3NRKJD6,18747.25,19381.5,634.25,1146.75,pedestrian_1-1-pt_2534,wifi,0.5530848048833661
QZGRPFB03YRG,19317.25,19361.75,44.5,82.75,pedestrian_1-1-pt_2544,wifi,0.5377643504531722
EIU4X2O5BVOK,19290.75,19361.25,70.5,213.75,pedestrian_1-1-pt_2545,wifi,0.3298245614035088
KI9POVYX5TT4,19322.25,19391.25,69.0,77.75,pedestrian_1-1-pt_2549,wifi,0.887459807073955
RUOMCVMIQ2JE,18488.75,18561.0,72.25,928.75,pedestrian_1-1-pt_255,wifi,0.07779273216689098
G76KQP4I54A5,18555.5,18629.75,74.25,886.75,pedestrian_1-1-pt_2606,wifi,0.08373273188610093
7EPVUI1J8AOK,18897.75,18972.25,74.5,351.75,pedestrian_1-1-pt_2676,wifi,0.21179815209665956
9HGUSWHE4TOA,19325.5,19381.5,56.0,121.75,pedestrian_1-1-pt_2677,wifi,0.459958932238193
JABRPRF9UQTI,19224.25,19290.5,66.25,205.75,pedestrian_1-1-pt_2718,wifi,0.3219927095990279
BK80YVN3EXA4,18835.0,18971.75,136.75,596.5,pedestrian_1-1-pt_2738,wifi,0.2292539815590947
7K5SB2DPZJ8Z,18257.0,18328.25,71.25,277.75,pedestrian_1-1-pt_2770,wifi,0.2565256525652565
6GRX2665ZYL8,18716.25,18788.25,72.0,385.5,pedestrian_1-1-pt_2820,wifi,0.1867704280155642
QES68KW65PVF,19093.25,19267.75,174.5,306.75,pedestrian_1-1-pt_2834,wifi,0.5688671556642216
4HJ20ZY9TK43,18884.75,19064.25,179.5,1108.75,pedestrian_1-1-pt_2835,wifi,0.16189402480270576
7PH0WSHQK3X0,18930.0,19343.0,413.0,1028.75,pedestrian_1-1-pt_2844,wifi,0.4014580801944107
H52QUNUNKHFV,18865.5,18935.75,70.25,187.75,pedestrian_1-1-pt_2863,wifi,0.374167776298269
58QH6P5XQU0X,19063.75,19186.0,122.25,624.75,pedestrian_1-1-pt_2867,wifi,0.19567827130852342
LYBONCEOCALV,19302.25,19376.75,74.5,97.75,pedestrian_1-1-pt_2880,wifi,0.7621483375959079
PHMHZ41A9OUS,18979.0,19053.25,74.25,517.75,pedestrian_1-1-pt_2892,wifi,0.14340898116851764
VNYBJDRD509Y,18917.25,19273.25,356.0,938.75,pedestrian_1-1-pt_29,wifi,0.3792276964047936
6ZW0FNC55H1W,19076.25,19136.25,60.0,203.75,pedestrian_1-1-pt_2920,wifi,0.294478527607362
DOF15MREJSHY,19144.25,19217.0,72.75,285.75,pedestrian_1-1-pt_2961,wifi,0.2545931758530184
R2XRHBTI78TN,19323.5,19395.5,72.0,194.75,pedestrian_1-1-pt_2964,wifi,0.36970474967907574
6G7CKZ6Z0PLC,19182.5,19254.25,71.75,254.75,pedestrian_1-1-pt_297,wifi,0.281648675171737
9TAZBX5O989N,18170.75,18236.25,65.5,104.75,pedestrian_1-1-pt_306,wifi,0.6252983293556086
8XB6E5AH7DJC,19287.25,19355.5,68.25,112.75,pedestrian_1-1-pt_3067,wifi,0.6053215077605322
DG9M9BDRWVI9,19192.0,19282.25,90.25,372.75,pedestrian_1-1-pt_3097,wifi,0.2421193829644534
CZ53FSUAUS9N,19230.5,19304.75,74.25,305.75,pedestrian_1-1-pt_3123,wifi,0.2428454619787408
K53FFCEGCWO6,19342.25,19376.25,34.0,57.75,pedestrian_1-1-pt_3135,wifi,0.5887445887445888
BQL8921GWQSN,19346.0,19400.0,54.0,244.75,pedestrian_1-1-pt_3147,wifi,0.22063329928498468
YX9KTUTDTCFC,18655.5,19117.75,462.25,1105.75,pedestrian_1-1-pt_317,wifi,0.4180420529052679
I93I1KMBYQSO,19011.0,19133.25,122.25,260.75,pedestrian_1-1-pt_3174,wifi,0.46883988494726747
W3PI5XI2TB1W,18613.5,19093.75,480.25,1020.25,pedestrian_1-1-pt_319,wifi,0.470717961283999
61A7VA996LMV,19376.25,19400.0,23.75,23.75,pedestrian_1-1-pt_3193,wifi,1.0
4MRXDTCSUD5L,19318.25,19400.0,81.75,81.75,pedestrian_1-1-pt_3207,wifi,1.0
6ERZNQY73PP6,19257.25,19326.75,69.5,142.75,pedestrian_1-1-pt_3230,wifi,0.4868651488616462
2J391WFZHYCV,18341.0,18507.0,166.0,819.75,pedestrian_1-1-pt_325,wifi,0.20250076242756937
MZGFQK003UA6,18299.75,18398.25,98.5,421.0,pedestrian_1-1-pt_3251,wifi,0.2339667458432304
564W1F65MVD3,18875.0,18944.5,69.5,669.75,pedestrian_1-1-pt_3275,wifi,0.10377006345651363
